Element;Fluorecence yield;Energy;Cross section;Source
Pb;9.670E-01;1.10E+01;3.990E-01;Lapicki
Pb;9.670E-01;1.20E+01;4.780E-01;Lapicki
Pb;9.670E-01;1.30E+01;5.680E-01;Lapicki
Pb;9.670E-01;1.40E+01;6.750E-01;Lapicki
Bi;9.680E-01;7.50E-01;1.800E-06;Lapicki
Bi;9.680E-01;1.00E+00;5.400E-05;Lapicki
Bi;9.680E-01;1.25E+00;2.400E-04;Lapicki
Bi;9.680E-01;1.50E+00;6.000E-04;Lapicki
Th;9.710E-01;7.00E+00;7.020E-02;Lapicki
Th;9.710E-01;8.00E+00;1.060E-01;Lapicki
Th;9.710E-01;9.00E+00;1.280E-01;Lapicki
Th;9.710E-01;1.00E+01;1.610E-01;Lapicki
Th;9.710E-01;1.10E+01;2.020E-01;Lapicki
Th;9.710E-01;1.20E+01;2.380E-01;Lapicki
Th;9.710E-01;1.30E+01;2.750E-01;Lapicki
Th;9.710E-01;1.40E+01;2.950E-01;Lapicki
Th;9.710E-01;7.20E+00;7.690E-02;Lapicki
Th;9.710E-01;8.80E+00;1.070E-01;Lapicki
Th;9.710E-01;1.01E+01;1.950E-01;Lapicki
U;9.720E-01;1.40E+00;1.050E-04;Lapicki
U;9.720E-01;1.50E+00;1.530E-04;Lapicki
U;9.720E-01;1.25E+00;3.600E-05;Lapicki
U;9.720E-01;1.50E+00;1.300E-04;Lapicki
U;9.720E-01;1.10E+00;1.670E-05;Lapicki
U;9.720E-01;1.20E+00;3.120E-05;Lapicki
U;9.720E-01;1.30E+00;5.350E-05;Lapicki
U;9.720E-01;1.40E+00;8.590E-05;Lapicki
P;6.300E-02;7.00E-01;3.379E+03;ECPSSR
P;6.300E-02;8.00E-01;4.285E+03;ECPSSR
P;6.300E-02;9.00E-01;5.186E+03;ECPSSR
P;6.300E-02;1.00E+00;6.063E+03;ECPSSR
P;6.300E-02;1.10E+00;6.904E+03;ECPSSR
P;6.300E-02;1.20E+00;7.701E+03;ECPSSR
P;6.300E-02;1.40E+00;9.153E+03;ECPSSR
P;6.300E-02;7.00E+00;1.545E+04;ECPSSR
P;6.300E-02;8.00E+00;1.488E+04;ECPSSR
P;6.300E-02;9.00E+00;1.429E+04;ECPSSR
P;6.300E-02;1.00E+01;1.371E+04;ECPSSR
P;6.300E-02;1.10E+01;1.316E+04;ECPSSR
P;6.300E-02;1.20E+01;1.263E+04;ECPSSR
P;6.300E-02;1.40E+01;1.167E+04;ECPSSR
Be;3.300E-04;2.00E-01;6.775E+06;ECPSSR
Be;3.300E-04;3.00E-01;6.634E+06;ECPSSR
Be;3.300E-04;4.00E-01;6.174E+06;ECPSSR
Be;3.300E-04;5.00E-01;5.689E+06;ECPSSR
Be;3.300E-04;6.00E-01;5.245E+06;ECPSSR
Be;3.300E-04;7.00E-01;4.855E+06;ECPSSR
Be;3.300E-04;8.00E-01;4.516E+06;ECPSSR
Be;3.300E-04;9.00E-01;4.219E+06;ECPSSR
Be;3.300E-04;1.00E+00;3.960E+06;ECPSSR
Be;3.300E-04;1.10E+00;3.732E+06;ECPSSR
Be;3.300E-04;1.20E+00;3.530E+06;ECPSSR
C;2.800E-03;7.00E-01;9.626E+05;ECPSSR
C;2.800E-03;8.00E-01;9.467E+05;ECPSSR
C;2.800E-03;9.00E-01;9.252E+05;ECPSSR
C;2.800E-03;1.00E+00;9.008E+05;ECPSSR
C;2.800E-03;1.10E+00;8.751E+05;ECPSSR
C;2.800E-03;1.20E+00;8.492E+05;ECPSSR
C;2.800E-03;1.40E+00;7.988E+05;ECPSSR
N;5.048E-03;7.00E-01;4.519E+05;ECPSSR
N;5.048E-03;8.00E-01;4.591E+05;ECPSSR
N;5.048E-03;9.00E-01;4.608E+05;ECPSSR
N;5.048E-03;1.00E+00;4.587E+05;ECPSSR
N;5.048E-03;1.10E+00;4.541E+05;ECPSSR
N;5.048E-03;1.20E+00;4.478E+05;ECPSSR
N;5.048E-03;1.40E+00;4.325E+05;ECPSSR
O;8.300E-03;7.00E-01;2.348E+05;ECPSSR
O;8.300E-03;8.00E-01;2.457E+05;ECPSSR
O;8.300E-03;9.00E-01;2.527E+05;ECPSSR
O;8.300E-03;1.00E+00;2.568E+05;ECPSSR
O;8.300E-03;1.10E+00;2.589E+05;ECPSSR
O;8.300E-03;1.20E+00;2.593E+05;ECPSSR
O;8.300E-03;1.40E+00;2.570E+05;ECPSSR
Na;2.300E-02;7.00E-01;3.660E+04;ECPSSR
Na;2.300E-02;8.00E-01;4.170E+04;ECPSSR
Na;2.300E-02;9.00E-01;4.605E+04;ECPSSR
Na;2.300E-02;1.00E+00;4.974E+04;ECPSSR
Na;2.300E-02;1.10E+00;5.285E+04;ECPSSR
Na;2.300E-02;1.20E+00;5.545E+04;ECPSSR
Na;2.300E-02;1.40E+00;5.941E+04;ECPSSR
Mg;3.000E-02;7.00E-01;1.978E+04;ECPSSR
Mg;3.000E-02;8.00E-01;2.318E+04;ECPSSR
Mg;3.000E-02;9.00E-01;2.623E+04;ECPSSR
Mg;3.000E-02;1.00E+00;2.892E+04;ECPSSR
Mg;3.000E-02;1.10E+00;3.128E+04;ECPSSR
Mg;3.000E-02;1.20E+00;3.335E+04;ECPSSR
Mg;3.000E-02;1.40E+00;3.669E+04;ECPSSR
Mg;3.000E-02;7.00E+00;3.527E+04;ECPSSR
Mg;3.000E-02;8.00E+00;3.306E+04;ECPSSR
Mg;3.000E-02;8.00E-01;5.060E+02;Lapicki
Mg;3.000E-02;9.00E-01;5.770E+02;Lapicki
Mg;3.000E-02;1.00E+00;6.420E+02;Lapicki
Mg;3.000E-02;1.10E+00;7.270E+02;Lapicki
Mg;3.000E-02;1.20E+00;7.730E+02;Lapicki
Mg;3.000E-02;1.31E+00;8.790E+02;Lapicki
Mg;3.000E-02;1.40E+00;9.460E+02;Lapicki
Mg;3.000E-02;1.50E+00;1.030E+03;Lapicki
Al;3.900E-02;7.00E-01;1.086E+04;ECPSSR
Al;3.900E-02;8.00E-01;1.308E+04;ECPSSR
Al;3.900E-02;9.00E-01;1.515E+04;ECPSSR
Al;3.900E-02;1.00E+00;1.704E+04;ECPSSR
Al;3.900E-02;1.10E+00;1.876E+04;ECPSSR
Al;3.900E-02;1.20E+00;2.031E+04;ECPSSR
Al;3.900E-02;1.40E+00;2.293E+04;ECPSSR
Al;3.900E-02;7.00E+00;2.655E+04;ECPSSR
Al;3.900E-02;8.00E+00;2.510E+04;ECPSSR
Al;3.900E-02;9.00E+00;2.375E+04;ECPSSR
Al;3.900E-02;1.00E+01;2.252E+04;ECPSSR
Si;5.000E-02;7.00E-01;6.037E+03;ECPSSR
Si;5.000E-02;8.00E-01;7.467E+03;ECPSSR
Si;5.000E-02;9.00E-01;8.843E+03;ECPSSR
Si;5.000E-02;1.00E+00;1.014E+04;ECPSSR
Si;5.000E-02;1.10E+00;1.136E+04;ECPSSR
Si;5.000E-02;1.20E+00;1.248E+04;ECPSSR
Si;5.000E-02;1.40E+00;1.446E+04;ECPSSR
Si;5.000E-02;7.00E+00;2.019E+04;ECPSSR
Si;5.000E-02;8.00E+00;1.927E+04;ECPSSR
Si;5.000E-02;9.00E+00;1.836E+04;ECPSSR
Si;5.000E-02;1.00E+01;1.751E+04;ECPSSR
Si;5.000E-02;1.10E+01;1.671E+04;ECPSSR
Si;5.000E-02;1.20E+01;1.598E+04;ECPSSR
S;7.800E-02;7.00E-01;1.962E+03;ECPSSR
S;7.800E-02;8.00E-01;2.544E+03;ECPSSR
S;7.800E-02;9.00E-01;3.139E+03;ECPSSR
S;7.800E-02;1.00E+00;3.733E+03;ECPSSR
S;7.800E-02;1.10E+00;4.316E+03;ECPSSR
S;7.800E-02;1.20E+00;4.880E+03;ECPSSR
S;7.800E-02;1.40E+00;5.937E+03;ECPSSR
S;7.800E-02;7.00E+00;1.201E+04;ECPSSR
S;7.800E-02;8.00E+00;1.168E+04;ECPSSR
S;7.800E-02;9.00E+00;1.131E+04;ECPSSR
S;7.800E-02;1.00E+01;1.093E+04;ECPSSR
S;7.800E-02;1.10E+01;1.054E+04;ECPSSR
S;7.800E-02;1.20E+01;1.016E+04;ECPSSR
S;7.800E-02;1.40E+01;9.462E+03;ECPSSR
Cl;9.700E-02;1.40E+00;3.630E+02;Lapicki
Cl;9.700E-02;1.50E+00;3.740E+02;Lapicki
Cl;9.700E-02;8.00E-01;1.630E+02;Lapicki
Cl;9.700E-02;1.00E+00;2.640E+02;Lapicki
Cl;9.700E-02;1.20E+00;2.800E+02;Lapicki
Cl;9.700E-02;1.40E+00;3.310E+02;Lapicki
Cl;9.700E-02;1.00E+00;2.690E+02;Lapicki
Cl;9.700E-02;1.30E+00;4.000E+02;Lapicki
Cl;9.700E-02;7.00E-01;1.149E+03;ECPSSR
Cl;9.700E-02;8.00E-01;1.521E+03;ECPSSR
Cl;9.700E-02;9.00E-01;1.912E+03;ECPSSR
Cl;9.700E-02;1.00E+00;2.311E+03;ECPSSR
Cl;9.700E-02;1.10E+00;2.711E+03;ECPSSR
Cl;9.700E-02;1.20E+00;3.107E+03;ECPSSR
Cl;9.700E-02;1.40E+00;3.867E+03;ECPSSR
Cl;9.700E-02;7.00E+00;9.368E+03;ECPSSR
Cl;9.700E-02;8.00E+00;9.206E+03;ECPSSR
Cl;9.700E-02;9.00E+00;8.987E+03;ECPSSR
Cl;9.700E-02;1.00E+01;8.739E+03;ECPSSR
Cl;9.700E-02;1.10E+01;8.480E+03;ECPSSR
Cl;9.700E-02;1.20E+01;8.218E+03;ECPSSR
Cl;9.700E-02;1.40E+01;7.710E+03;ECPSSR
K;1.400E-01;7.00E-01;4.065E+02;ECPSSR
K;1.400E-01;8.00E-01;5.586E+02;ECPSSR
K;1.400E-01;9.00E-01;7.261E+02;ECPSSR
K;1.400E-01;1.00E+00;9.047E+02;ECPSSR
K;1.400E-01;1.10E+00;1.091E+03;ECPSSR
K;1.400E-01;1.20E+00;1.281E+03;ECPSSR
K;1.400E-01;1.40E+00;1.666E+03;ECPSSR
K;1.400E-01;7.00E+00;5.762E+03;ECPSSR
K;1.400E-01;8.00E+00;5.779E+03;ECPSSR
K;1.400E-01;9.00E+00;5.738E+03;ECPSSR
K;1.400E-01;1.00E+01;5.659E+03;ECPSSR
K;1.400E-01;1.10E+01;5.558E+03;ECPSSR
K;1.400E-01;1.20E+01;5.442E+03;ECPSSR
K;1.400E-01;1.40E+01;5.192E+03;ECPSSR
Ca;1.630E-01;7.00E-01;2.473E+02;ECPSSR
Ca;1.630E-01;8.00E-01;3.455E+02;ECPSSR
Ca;1.630E-01;9.00E-01;4.558E+02;ECPSSR
Ca;1.630E-01;1.00E+00;5.757E+02;ECPSSR
Ca;1.630E-01;1.10E+00;7.028E+02;ECPSSR
Ca;1.630E-01;1.20E+00;8.349E+02;ECPSSR
Ca;1.630E-01;1.40E+00;1.107E+03;ECPSSR
Ca;1.630E-01;7.00E+00;4.550E+03;ECPSSR
Ca;1.630E-01;8.00E+00;4.611E+03;ECPSSR
Ca;1.630E-01;9.00E+00;4.618E+03;ECPSSR
Ca;1.630E-01;1.00E+01;4.587E+03;ECPSSR
Ca;1.630E-01;1.10E+01;4.533E+03;ECPSSR
Ca;1.630E-01;1.20E+01;4.462E+03;ECPSSR
Ca;1.630E-01;1.40E+01;4.295E+03;ECPSSR
Cr;2.750E-01;7.00E-01;3.981E+01;ECPSSR
Cr;2.750E-01;8.00E-01;5.862E+01;ECPSSR
Cr;2.750E-01;9.00E-01;8.114E+01;ECPSSR
Cr;2.750E-01;1.00E+00;1.010E+02;ECPSSR
Cr;2.750E-01;1.10E+00;1.362E+02;ECPSSR
Cr;2.750E-01;1.20E+00;1.680E+02;ECPSSR
Cr;2.750E-01;1.40E+00;2.385E+02;ECPSSR
Cr;2.750E-01;7.00E+00;1.847E+03;ECPSSR
Cr;2.750E-01;8.00E+00;1.949E+03;ECPSSR
Cr;2.750E-01;9.00E+00;2.019E+03;ECPSSR
Cr;2.750E-01;1.00E+01;2.064E+03;ECPSSR
Cr;2.750E-01;1.10E+01;2.091E+03;ECPSSR
Cr;2.750E-01;1.20E+01;2.104E+03;ECPSSR
Cr;2.750E-01;1.40E+01;2.099E+03;ECPSSR
Mn;3.080E-01;7.00E-01;2.611E+01;ECPSSR
Mn;3.080E-01;8.00E-01;3.886E+01;ECPSSR
Mn;3.080E-01;9.00E-01;5.432E+01;ECPSSR
Mn;3.080E-01;1.00E+00;7.236E+01;ECPSSR
Mn;3.080E-01;1.10E+00;9.278E+01;ECPSSR
Mn;3.080E-01;1.20E+00;1.154E+02;ECPSSR
Mn;3.080E-01;1.40E+00;1.662E+02;ECPSSR
Mn;3.080E-01;7.00E+00;1.487E+03;ECPSSR
Mn;3.080E-01;8.00E+00;1.585E+03;ECPSSR
Mn;3.080E-01;9.00E+00;1.655E+03;ECPSSR
Mn;3.080E-01;1.00E+01;1.704E+03;ECPSSR
Mn;3.080E-01;1.10E+01;1.737E+03;ECPSSR
Mn;3.080E-01;1.20E+01;1.757E+03;ECPSSR
Mn;3.080E-01;1.40E+01;1.769E+03;ECPSSR
Fe;3.400E-01;7.00E-01;1.732E+01;ECPSSR
Fe;3.400E-01;8.00E-01;2.603E+01;ECPSSR
Fe;3.400E-01;9.00E-01;3.672E+01;ECPSSR
Fe;3.400E-01;1.00E+00;4.932E+01;ECPSSR
Fe;3.400E-01;1.10E+00;6.374E+01;ECPSSR
Fe;3.400E-01;1.20E+00;7.986E+01;ECPSSR
Fe;3.400E-01;1.40E+00;1.166E+02;ECPSSR
Fe;3.400E-01;7.00E+00;1.200E+03;ECPSSR
Fe;3.400E-01;8.00E+00;1.291E+03;ECPSSR
Fe;3.400E-01;9.00E+00;1.360E+03;ECPSSR
Fe;3.400E-01;1.00E+01;1.410E+03;ECPSSR
Fe;3.400E-01;1.10E+01;1.446E+03;ECPSSR
Fe;3.400E-01;1.20E+01;1.471E+03;ECPSSR
Fe;3.400E-01;1.40E+01;1.494E+03;ECPSSR
Co;3.730E-01;7.00E-01;1.160E+01;ECPSSR
Co;3.730E-01;8.00E-01;1.760E+01;ECPSSR
Co;3.730E-01;9.00E-01;2.504E+01;ECPSSR
Co;3.730E-01;1.00E+00;3.390E+01;ECPSSR
Co;3.730E-01;1.10E+00;4.413E+01;ECPSSR
Co;3.730E-01;1.20E+00;5.567E+01;ECPSSR
Co;3.730E-01;1.40E+00;8.230E+01;ECPSSR
Co;3.730E-01;7.00E+00;9.704E+02;ECPSSR
Co;3.730E-01;8.00E+00;1.054E+03;ECPSSR
Co;3.730E-01;9.00E+00;1.119E+03;ECPSSR
Co;3.730E-01;1.00E+01;1.169E+03;ECPSSR
Co;3.730E-01;1.10E+01;1.206E+03;ECPSSR
Co;3.730E-01;1.20E+01;1.233E+03;ECPSSR
Co;3.730E-01;1.40E+01;1.264E+03;ECPSSR
Ni;4.060E-01;7.00E-01;7.877E+00;ECPSSR
Ni;4.060E-01;8.00E-01;1.206E+01;ECPSSR
Ni;4.060E-01;9.00E-01;1.729E+01;ECPSSR
Ni;4.060E-01;1.00E+00;2.358E+01;ECPSSR
Ni;4.060E-01;1.10E+00;3.091E+01;ECPSSR
Ni;4.060E-01;1.20E+00;3.924E+01;ECPSSR
Ni;4.060E-01;1.40E+00;5.869E+01;ECPSSR
Ni;4.060E-01;7.00E+00;7.877E+02;ECPSSR
Ni;4.060E-01;8.00E+00;8.637E+02;ECPSSR
Ni;4.060E-01;9.00E+00;9.242E+02;ECPSSR
Ni;4.060E-01;1.00E+01;9.717E+02;ECPSSR
Ni;4.060E-01;1.10E+01;1.009E+03;ECPSSR
Ni;4.060E-01;1.20E+01;1.037E+03;ECPSSR
Ni;4.060E-01;1.40E+01;1.072E+03;ECPSSR
Cu;4.400E-01;7.00E-01;5.396E+00;ECPSSR
Cu;4.400E-01;8.00E-01;8.328E+00;ECPSSR
Cu;4.400E-01;9.00E-01;1.203E+01;ECPSSR
Cu;4.400E-01;1.00E+00;1.653E+01;ECPSSR
Cu;4.400E-01;1.10E+00;2.181E+01;ECPSSR
Cu;4.400E-01;1.20E+00;2.785E+01;ECPSSR
Cu;4.400E-01;1.40E+00;4.212E+01;ECPSSR
Cu;4.400E-01;7.00E+00;6.405E+02;ECPSSR
Cu;4.400E-01;8.00E+00;7.088E+02;ECPSSR
Cu;4.400E-01;9.00E+00;7.644E+02;ECPSSR
Cu;4.400E-01;1.00E+01;8.092E+02;ECPSSR
Cu;4.400E-01;1.10E+01;8.449E+02;ECPSSR
Cu;4.400E-01;1.20E+01;8.730E+02;ECPSSR
Cu;4.400E-01;1.40E+01;9.112E+02;ECPSSR
Zn;4.700E-01;7.00E-01;3.715E+00;ECPSSR
Zn;4.700E-01;8.00E-01;5.782E+00;ECPSSR
Zn;4.700E-01;9.00E-01;8.414E+00;ECPSSR
Zn;4.700E-01;1.00E+00;1.163E+01;ECPSSR
Zn;4.700E-01;1.10E+00;1.544E+01;ECPSSR
Zn;4.700E-01;1.20E+00;1.984E+01;ECPSSR
Zn;4.700E-01;1.40E+00;3.032E+01;ECPSSR
Zn;4.700E-01;7.00E+00;5.211E+02;ECPSSR
Zn;4.700E-01;8.00E+00;5.820E+02;ECPSSR
Zn;4.700E-01;9.00E+00;6.326E+02;ECPSSR
Zn;4.700E-01;1.00E+01;6.742E+02;ECPSSR
Zn;4.700E-01;1.10E+01;7.081E+02;ECPSSR
Zn;4.700E-01;1.20E+01;7.355E+02;ECPSSR
Zn;4.700E-01;1.40E+01;7.745E+02;ECPSSR
Rb;6.670E-01;7.00E-01;3.399E-01;ECPSSR
Rb;6.670E-01;8.00E-01;5.564E-01;ECPSSR
Rb;6.670E-01;9.00E-01;8.461E-01;ECPSSR
Rb;6.670E-01;1.00E+00;1.216E+00;ECPSSR
Rb;6.670E-01;1.10E+00;1.673E+00;ECPSSR
Rb;6.670E-01;1.20E+00;2.222E+00;ECPSSR
Rb;6.670E-01;1.40E+00;3.605E+00;ECPSSR
Rb;6.670E-01;7.00E+00;1.295E+02;ECPSSR
Rb;6.670E-01;8.00E+00;1.536E+02;ECPSSR
Rb;6.670E-01;9.00E+00;1.758E+02;ECPSSR
Rb;6.670E-01;1.00E+01;1.959E+02;ECPSSR
Rb;6.670E-01;1.10E+01;2.140E+02;ECPSSR
Rb;6.670E-01;1.20E+01;2.302E+02;ECPSSR
Rb;6.670E-01;1.40E+01;2.574E+02;ECPSSR
Sr;6.900E-01;7.00E-01;2.483E-01;ECPSSR
Sr;6.900E-01;8.00E-01;4.094E-01;ECPSSR
Sr;6.900E-01;9.00E-01;6.260E-01;ECPSSR
Sr;6.900E-01;1.00E+00;9.043E-01;ECPSSR
Sr;6.900E-01;1.10E+00;1.249E+00;ECPSSR
Sr;6.900E-01;1.20E+00;1.665E+00;ECPSSR
Sr;6.900E-01;1.40E+00;2.721E+00;ECPSSR
Sr;6.900E-01;7.00E+00;1.069E+02;ECPSSR
Sr;6.900E-01;8.00E+00;1.278E+02;ECPSSR
Sr;6.900E-01;9.00E+00;1.472E+02;ECPSSR
Sr;6.900E-01;1.00E+01;1.651E+02;ECPSSR
Sr;6.900E-01;1.10E+01;1.814E+02;ECPSSR
Sr;6.900E-01;1.20E+01;1.960E+02;ECPSSR
Sr;6.900E-01;1.40E+01;2.210E+02;ECPSSR
I;8.840E-01;7.00E-01;4.349E-03;ECPSSR
I;8.840E-01;8.00E-01;7.987E-03;ECPSSR
I;8.840E-01;9.00E-01;1.327E-02;ECPSSR
I;8.840E-01;1.00E+00;2.048E-02;ECPSSR
I;8.840E-01;1.10E+00;2.990E-02;ECPSSR
I;8.840E-01;1.20E+00;4.180E-02;ECPSSR
I;8.840E-01;1.40E+00;7.402E-02;ECPSSR
I;8.840E-01;7.00E+00;7.578E+00;ECPSSR
I;8.840E-01;8.00E+00;9.966E+00;ECPSSR
I;8.840E-01;9.00E+00;1.250E+01;ECPSSR
I;8.840E-01;1.00E+01;1.511E+01;ECPSSR
I;8.840E-01;1.10E+01;1.777E+01;ECPSSR
I;8.840E-01;1.20E+01;2.042E+01;ECPSSR
I;8.840E-01;1.40E+01;2.564E+01;ECPSSR
Au;9.640E-01;7.00E-01;1.580E-05;ECPSSR
Au;9.640E-01;8.00E-01;4.338E-05;ECPSSR
Au;9.640E-01;9.00E-01;9.516E-05;ECPSSR
Au;9.640E-01;1.00E+00;1.795E-04;ECPSSR
Au;9.640E-01;1.10E+00;3.042E-04;ECPSSR
Au;9.640E-01;1.20E+00;4.765E-04;ECPSSR
Au;9.640E-01;1.40E+00;9.899E-04;ECPSSR
Au;9.640E-01;7.00E+00;2.080E-01;ECPSSR
Au;9.640E-01;8.00E+00;2.935E-01;ECPSSR
Au;9.640E-01;9.00E+00;3.960E-01;ECPSSR
Au;9.640E-01;1.00E+01;5.075E-01;ECPSSR
Au;9.640E-01;1.10E+01;6.341E-01;ECPSSR
Au;9.640E-01;1.20E+01;7.724E-01;ECPSSR
Au;9.640E-01;1.40E+01;1.079E+00;ECPSSR
Pb;9.670E-01;8.00E-01;2.393E-05;ECPSSR
Pb;9.670E-01;9.00E-01;5.566E-05;ECPSSR
Pb;9.670E-01;1.00E+00;1.095E-04;ECPSSR
Pb;9.670E-01;1.10E+00;1.914E-04;ECPSSR
Pb;9.670E-01;1.20E+00;3.070E-04;ECPSSR
Pb;9.670E-01;1.40E+00;6.588E-04;ECPSSR
Pb;9.670E-01;7.00E+00;1.485E-01;ECPSSR
Pb;9.670E-01;8.00E+00;2.100E-01;ECPSSR
Pb;9.670E-01;9.00E+00;2.823E-01;ECPSSR
Pb;9.670E-01;1.00E+01;3.648E-01;ECPSSR
Pb;9.670E-01;1.10E+01;4.571E-01;ECPSSR
Pb;9.670E-01;1.20E+01;5.583E-01;ECPSSR
Pb;9.670E-01;1.40E+01;7.847E-01;ECPSSR
Bi;9.680E-01;8.00E-01;1.954E-05;ECPSSR
Bi;9.680E-01;9.00E-01;4.644E-05;ECPSSR
Bi;9.680E-01;1.00E+00;9.276E-05;ECPSSR
Bi;9.680E-01;1.10E+00;1.640E-04;ECPSSR
Bi;9.680E-01;1.20E+00;2.654E-04;ECPSSR
Bi;9.680E-01;1.40E+00;5.763E-04;ECPSSR
Bi;9.680E-01;7.00E+00;1.332E-01;ECPSSR
Bi;9.680E-01;8.00E+00;1.884E-01;ECPSSR
Bi;9.680E-01;9.00E+00;2.535E-01;ECPSSR
Bi;9.680E-01;1.00E+01;3.28E-01;ECPSSR
Bi;9.680E-01;1.10E+01;4.110E-01;ECPSSR
Bi;9.680E-01;1.20E+01;5.025E-01;ECPSSR
Bi;9.680E-01;1.40E+01;7.740E-01;ECPSSR
Th;9.710E-01;1.00E+00;2.788E-05;ECPSSR
Th;9.710E-01;1.10E+00;5.428E-05;ECPSSR
Th;9.710E-01;1.20E+00;9.450E-05;ECPSSR
Th;9.710E-01;1.40E+00;2.273E-04;ECPSSR
Th;9.710E-01;7.00E+00;6.517E-02;ECPSSR
Th;9.710E-01;8.00E+00;9.228E-02;ECPSSR
Th;9.710E-01;9.00E+00;1.243E-01;ECPSSR
Th;9.710E-01;1.00E+01;1.612E-01;ECPSSR
Th;9.710E-01;1.10E+01;2.027E-01;ECPSSR
Th;9.710E-01;1.20E+01;2.487E-01;ECPSSR
Th;9.710E-01;1.40E+01;3.529E-01;ECPSSR
U;9.720E-01;1.00E+00;1.940E-05;ECPSSR
U;9.720E-01;1.10E+00;3.905E-05;ECPSSR
U;9.720E-01;1.20E+00;6.973E-05;ECPSSR
U;9.720E-01;1.40E+00;1.738E-04;ECPSSR
U;9.720E-01;7.00E+00;5.392E-02;ECPSSR
U;9.720E-01;8.00E+00;7.632E-02;ECPSSR
U;9.720E-01;9.00E+00;1.028E-01;ECPSSR
U;9.720E-01;1.00E+01;1.333E-01;ECPSSR
U;9.720E-01;1.10E+01;1.677E-01;ECPSSR
U;9.720E-01;1.20E+01;2.058E-01;ECPSSR
U;9.720E-01;1.40E+01;2.924E-01;ECPSSR
